Days,eggsLaid,eggInHive,Larva,Pupa,Worker,Drone,Death,Birth,HoneyStock,Flower1Nectar,Flower2Nectar,Flower3Nectar
1,12,12,0,0,100,0,0,0,3130.75,16340,8470,41800
2,44,56,0,0,100,0,0,0,3245.75,16560,8230,42450
3,27,83,0,0,100,0,0,0,3364.25,16200,8400,42500
4,26,97,12,0,100,0,0,12,3480.75,16680,8320,41700
5,42,95,56,0,100,0,0,56,3545,16540,8290,42200
6,11,79,83,0,100,0,0,83,3584.25,16700,8250,42000
7,20,73,109,0,100,0,0,109,3617.25,16800,8410,40950
8,27,58,151,0,100,0,0,151,3601.75,16600,8420,41400
9,19,66,162,0,100,0,0,162,3559.75,16560,8280,42200
10,46,92,170,12,100,0,0,182,3524.75,16240,8550,41650
11,42,107,153,56,100,0,0,209,3507.75,16480,8470,41450
12,12,100,145,83,100,0,0,228,3484,16780,8210,42000
13,13,67,165,109,100,0,0,274,3459.5,16440,8530,41250
14,22,47,165,151,100,0,0,316,3411.25,16500,8270,42400
15,14,49,166,162,0,0,100,328,3557.25,16480,8230,42650
16,34,70,159,182,0,0,100,341,3394.25,20000,10000,50000
17,12,60,154,209,0,0,100,363,3236.25,20000,10000,50000
18,18,64,149,228,0,0,100,377,3083.25,20000,10000,50000
19,25,55,137,274,0,0,100,411,2942.25,20000,10000,50000
20,31,74,107,304,10,2,100,423,2807.25,20000,10000,50000
21,35,91,113,272,51,5,100,441,2610.5,19700,9810,49200
22,31,97,125,258,78,5,100,466,2481.25,18400,9070,45900
23,11,77,134,254,103,6,100,497,2378,17660,8530,43700
24,27,69,155,226,141,10,100,532,2265,16860,8220,41000
25,13,51,152,249,150,12,100,563,2263.25,15040,7830,38000
26,18,58,151,241,167,15,100,574,2255.75,14640,7750,37150
27,36,67,160,232,192,17,100,601,2236.75,14940,7090,35450
28,19,73,148,238,210,18,100,614,2260.75,13200,6870,34650
29,24,79,135,223,253,21,100,632,2275.25,13120,6470,32350
30,26,69,136,216,291,25,100,668,2330.25,11380,5690,29850
31,17,67,124,235,301,27,100,687,2517.25,9900,5310,25950
32,25,68,137,233,312,29,100,711,2700.5,9840,5060,24850
33,13,55,136,238,330,33,100,737,2870.5,9920,4640,24000
34,10,48,140,237,343,34,100,754,3103.5,8840,4870,21050
35,46,69,147,221,365,36,110,779,3306.25,8960,4260,20550
36,15,71,124,245,334,38,151,792,3663.25,7860,4030,18950
37,48,109,115,246,323,40,178,802,3936,8700,4540,22050
38,11,74,137,245,320,43,203,848,4137.5,8580,4780,23900
39,34,93,126,240,310,46,241,863,4378.25,9460,4780,22450
40,21,66,157,222,333,49,250,911,4457.25,9560,4580,25700
41,13,68,143,216,344,52,267,922,4629.25,9540,4220,21800
42,43,77,164,218,329,53,292,956,4871,8580,4520,19950
43,17,73,175,201,337,54,310,977,5038.25,8960,4860,21050
44,27,87,142,234,302,59,353,990,5289.75,8300,4520,22400
45,31,75,170,231,280,61,391,1033,5439.75,9960,4950,24850
46,12,70,139,243,305,62,401,1050,5512.25,11160,5310,25550
47,18,61,155,235,312,63,412,1077,5636.75,10060,5000,23600
48,40,70,152,245,318,63,430,1108,5770,9740,4860,23350
49,31,89,143,240,330,64,443,1120,5889.25,9140,4740,23950
50,11,82,148,236,314,65,475,1138,6078.75,9280,4390,22350
51,49,91,145,254,328,66,485,1178,6161.5,9420,4540,25250
52,44,104,159,258,323,68,501,1209,6299.25,9380,4310,23000
53,39,132,143,275,310,69,523,1220,6455.25,9980,4180,23400
54,25,108,161,260,324,73,551,1269,6535.5,9940,4790,23700
55,15,79,193,257,307,73,583,1313,6691.25,9380,4860,21250
56,13,53,214,227,321,77,613,1352,6715.75,10260,4850,23350
57,45,73,199,256,322,74,626,1377,6755.75,9460,4240,24900
58,21,79,183,253,329,75,652,1392,6810.75,8920,4530,24550
59,42,108,185,243,341,75,661,1405,6886,8800,4600,22750
60,49,111,181,279,335,74,681,1450,7032.25,8800,4380,20850
61,50,110,158,280,340,75,718,1471,7151,8720,4400,22450
62,12,80,161,302,337,74,739,1513,7259.5,8120,4160,23900
63,26,58,184,300,339,73,765,1561,7371.25,8920,4330,21800
64,21,59,189,284,342,75,791,1581,7466.25,7820,4600,22700
65,18,65,188,285,337,73,810,1593,7609.5,8420,4520,20850
66,10,49,169,312,331,69,838,1619,7752.25,9000,4220,22150
67,26,54,169,293,357,70,851,1640,7806.5,9160,4190,23400
68,19,55,145,304,377,70,862,1658,7932,8060,3850,21350
69,17,62,107,341,344,68,908,1668,8256.25,7200,3830,18600
70,36,72,113,312,376,69,924,1694,8387.75,8280,4280,21900
71,38,91,120,280,375,70,968,1713,8625.25,6840,3950,19150
72,50,124,111,267,398,73,981,1730,8813.5,7400,3740,19050
73,13,101,126,263,386,75,1016,1766,9115,6320,3790,15750
74,33,96,146,266,376,77,1039,1804,9353.25,7300,3580,17350
75,42,85,186,263,377,76,1052,1854,9508.5,7820,3580,18550
76,35,85,173,244,376,79,1095,1867,9643.75,7200,3460,20450
77,35,87,187,242,378,80,1113,1900,9784.25,7720,3580,18800
78,20,68,209,217,388,85,1140,1939,9893,6780,4010,18500
79,28,83,186,205,400,92,1169,1952,9986,6320,3550,19450
80,26,74,183,223,408,88,1185,1987,10155.25,6460,3560,16050
81,23,77,153,261,400,88,1205,2007,10394.75,6120,3430,15550
82,13,62,168,248,386,90,1243,2035,10644,6940,3630,14500
83,34,70,161,260,377,90,1273,2061,10810.75,7100,3370,18900
84,23,70,145,281,383,93,1282,2084,10946.75,7380,3540,19600
85,32,85,145,284,346,92,1330,2097,11198.25,6420,3920,18600
86,31,82,144,293,326,96,1372,2131,11395.5,8420,4610,19400
87,22,81,147,294,311,95,1407,2154,11503.5,8600,4610,23950
88,27,80,147,305,304,96,1430,2182,11590,8820,5130,24550
89,37,86,152,295,329,96,1441,2213,11603,9920,4970,24350
90,36,100,151,280,353,95,1456,2235,11639.25,9200,4360,22950
91,38,94,165,243,362,97,1495,2262,11720.5,7840,4180,21250
92,38,95,168,264,358,91,1518,2299,11841.25,7420,4000,20950
93,50,83,181,254,350,96,1554,2335,11926.5,8820,3440,21250
94,14,76,174,243,345,99,1595,2356,12053.25,8220,4470,19600
95,32,70,181,261,335,102,1615,2394,12150.75,8780,4210,20750
96,35,81,183,248,357,102,1628,2418,12152.5,7600,4780,23350
97,36,96,170,255,351,102,1654,2432,12273.5,8020,4190,19750
98,24,88,165,264,356,103,1676,2464,12335,8020,4040,22000
99,31,77,164,274,365,104,1692,2499,12416.75,7940,4150,20400
100,18,64,172,272,374,105,1705,2528,12477.75,7540,3810,20850
